Chunk,Embedding (first 10 dims)
"i
 
 
 
 
T.C. 
ADNAN MENDERES ÜNİVERSİTESİ  
SOSYAL BİLİMLER ENSTİTÜSÜ 
İŞLETME ANA BİLİM DALI 
İŞ-YL-2007-0002 
 
 
 
 
 
 
 
 
 
 
 
KURUMSAL KAYNAK PLANLAMA (ERP) 
 
 
 
 
 
 
 
 
 
 
HAZIRLAYAN  
Ersin TEVATİROĞLU  
 
 
TEZ DANIŞMANI 
Yrd. Doç. Dr. Hüseyin ŞENKAYAS  
 
 
 
 
 
 
 
AYDIN-2007 
 
 
 
 
ii
 
 
 
 
 
T.C. 
ADNAN MENDERES ÜNİVERSİTESİ 
SOSYAL BİLİMLER ENSTİTÜSÜ 
İŞLETME ANA BİLİM DALI 
İŞ-YL-2007-0002 
 
 
 
 
 
 
 
 
 
 
KURUMSAL KAYNAK PLANLAMA (ERP)","[ 0.05431814  0.06704339  0.02959069  0.02437646 -0.07248574  0.00822901
  0.04101983  0.0538487  -0.01579201 -0.00054464]"
"İŞ-YL-2007-0002 
 
 
 
 
 
 
 
 
 
 
KURUMSAL KAYNAK PLANLAMA (ERP) 
 
 
 
 
 
 
 
 
 
 
 
HAZIRLAYAN  
Ersin TEVATİROĞLU  
 
 
TEZ DANIŞMANI 
Yrd. Doç. Dr. Hüseyin ŞENKAYAS 
 
 
 
 
 
 
 
 
 
AYDIN-2007 
 
 
 
 
iii
 
 
 
Bu tezde görsel, işitsel ve yazılı biçimde sunulan tüm bilgi ve sonuçların 
akademik ve etik kurallara uyularak tarafımdan elde edildiğini, tez içinde 
yer alan ancak bu çalışmaya özgü olmayan tüm sonuç ve bilgileri tezde 
kaynak göstererek belirttiğimi beyan ederim.","[ 0.02084807  0.08317415  0.02366283  0.02684637 -0.06335748 -0.02024837
  0.03809949  0.05199734  0.0411624  -0.02003115]"
"kaynak göstererek belirttiğimi beyan ederim. 
 
 
 
 
Adı Soyadı 
: Ersin TEVATİROĞLU 
 
 
İmza  
: 
 
 
iv
 
 
 
İÇİNDEKİLER 
Sayfa 
KISALTMA LİSTESİ............................................................................................................. i 
ŞEKİL LİSTESİ.....................................................................................................................ii","[-0.03963929  0.02164623 -0.03286057 -0.00076056 -0.06031342 -0.00329298
  0.08167887  0.07230981  0.00353273 -0.04101357]"
"ÇİZELGE LİSTESİ ..............................................................................................................iii 
ÖNSÖZ ................................................................................................................................ iv 
ÖZET .................................................................................................................................... v","[-0.10546938  0.01611548 -0.06196724 -0.0721603  -0.11121981  0.05038215
  0.11070627  0.16230097 -0.04472286 -0.00724122]"
"ABSTRACT ........................................................................................................................ vii 
GİRİŞ .................................................................................................................................... 1 
 
1.BÖLÜM: KURUMSAL KAYNAK PLANLAMASI VE GELİŞİMİ 
 
   1.1.KURUMSAL KAYNAK PLANLAMASININ (ERP) TANIMI.....……….………….…2  
   1.2. ERP'DE LOJİSTİK VE STOK YÖNETİMİ…………..……...……….……….………..5","[-0.07108994 -0.00467675  0.00223981 -0.00879644 -0.10312493  0.02629614
  0.02761963  0.09946646 -0.00982886  0.07897222]"
"1.2. ERP'DE LOJİSTİK VE STOK YÖNETİMİ…………..……...……….……….………..5 
1.2.1. Lojistik Kavramı………………………………………...………………………5 
1.2.2. Stok Kavramı ve Amacı……………………………...………………………….6 
1.2.3. Stokların Fonksiyonlarına Göre Sınıflandırılması……………………...……….7 
1.2.4. Stokların İşletme Ekonomisindeki Önemi……………………………...……….8 
1.2.5. Tedarik, Sevkıyat, Depolama……………………...…………………………….8  
    1.3. ERP'NİN GELİŞİMİ, ORTAYA ÇIKIŞ NEDENLERİ VE KONUMU…………..…..10","[ 0.0315694   0.02109797 -0.03954449 -0.04930522 -0.05500231 -0.03065154
  0.03786272  0.0696595   0.00168299 -0.0022406 ]"
"1.3. ERP'NİN GELİŞİMİ, ORTAYA ÇIKIŞ NEDENLERİ VE KONUMU…………..…..10 
1.3.1 Ürün Ağaçları (Bills of Materials: BOM)…………………...………………….15 
1.3.2. Malzeme İhtiyaç Planlaması (MRP)………...…………………………………16 
1.3.3. Kapalı Çevrim MRP………………………...……………………………….…18 
1.3.4. Ana Üretim Çizelgesi  (MPS)……………...…………………………………..20 
1.3.5. Kapasite İhtiyaç Planlaması (CRP)………...…………………………………..20 
1.3.6. Üretim Kaynakları Planlaması ( MRP II )…...………………………………...22","[-0.03254205  0.0563751  -0.05254542 -0.02194699 -0.07573592 -0.02780357
  0.03986019  0.08739181  0.01429236 -0.0309899 ]"
"1.3.6. Üretim Kaynakları Planlaması ( MRP II )…...………………………………...22 
1.3.7. Dağıtım Kaynakları Planlaması……………..……………….…...…..……..…25 
 
 
v
 
 
 
2. BÖLÜM: ERP SİSTEMİNİN ÖZELLİKLERİ, KURULUMU VE ERPII'YE GEÇİŞ 
 
2.1. ERP SİSTEMLERİNİN OLUŞUMU VE TEMEL ÖZELLİKLERİ………………….…27 
2.2. ERP’NİN TEMEL TEKNİK ÖZELLİKLERİ……...……..…………...…………..…….28 
2.3. ERP SİSTEMLERİNİN KURULUMU…...……….………………….............…………29 
       2.3.1. Kurulum Öncesi Dönemi Kritik Etmenleri….................…………..………….…..30","[ 0.01814511  0.0331481  -0.01289301 -0.01390193 -0.01918999 -0.04084542
  0.06165318  0.0633304   0.03558154 -0.07043677]"
"2.3.1. Kurulum Öncesi Dönemi Kritik Etmenleri….................…………..………….…..30 
       2.3.2. Yayılma Dönemi Kritik Etmenleri…................……..….…………..……………..30 
       2.3.3. Kurulum Sonrası Dönemdeki Kritik Etmenler….…….................……….....…….31 
2.4.ERP SİSTEMİNİN KURULUMUNDA BAŞARIYA ETKİ EDEN FAKTÖRLER...…..33 
2.5. ERP SİSTEMİNİN FAYDALARI……………………………...….………………….....34 
2.6.ERP’NİN SAKINCALARI VE UYGULAMADA GÖRÜLEN AKSAKLIKLAR….…..35","[ 0.00613515  0.00828045 -0.05407313 -0.04389954 -0.07889847 -0.00632657
  0.03199092  0.02667804  0.01451923  0.01838591]"
"2.6.ERP’NİN SAKINCALARI VE UYGULAMADA GÖRÜLEN AKSAKLIKLAR….…..35 
2.7. GELİŞTİRİLMİŞ KURUMSAL KAYNAK PLANLAMASININ (ERP II)  
       ORTAYA ÇIKIŞI…………………………………….............………………………….37 
 
3. BÖLÜM: ERP VE YAZILIM PAZARLARI 
 
3.1. ERP YAZILIM PAZARI VE SEÇİM SÜRECİ...…………….…………………………42 
3.2. GLOBAL YAZILIM PAZARINDA ERP' NİN YERİ……...…………………..…...…..43 
3.3. ERP  YAZILIM PAZARINDAKİ FİRMALAR VE KULLANICILAR……...…...……46 
3.4. ERP SİSTEMİ YAZILIM SEÇİM KISTASLARI…………...………...…..………...….50","[-0.01557774  0.04104159 -0.01782577 -0.05320265 -0.01438969 -0.02296822
  0.06338672  0.07363348  0.02353044 -0.01627059]"
